protein	strand_corrected_position	score	normalised_coverage
tfip11	-100	105741	0.9752095841518413
tfip11	-99	105814	0.9758828357727176
tfip11	-98	105896	0.9766390910180855
tfip11	-97	105963	0.9772570068893008
tfip11	-96	106026	0.9778380322607421
tfip11	-95	106096	0.9784836160067879
tfip11	-94	106156	0.9790369735033986
tfip11	-93	106224	0.9796641119995573
tfip11	-92	106283	0.9802082468712245
tfip11	-91	106359	0.9809091663669314
tfip11	-90	106420	0.9814717464884856
tfip11	-89	106490	0.9821173302345314
tfip11	-88	106551	0.9826799103560856
tfip11	-87	106628	0.9833900524767359
tfip11	-86	106698	0.9840356362227817
tfip11	-85	106769	0.984690442593771
tfip11	-84	106827	0.9852253548404947
tfip11	-83	106893	0.9858340480867664
tfip11	-82	106950	0.9863597377085466
tfip11	-81	107015	0.9869592083298748
tfip11	-80	107081	0.9875679015761466
tfip11	-79	107145	0.9881581495725313
tfip11	-78	107225	0.9888959595680122
tfip11	-77	107287	0.98946776231451
tfip11	-76	107352	0.9900672329358382
tfip11	-75	107415	0.9906482583072794
tfip11	-74	107475	0.9912016158038901
tfip11	-73	107557	0.991957871049258
tfip11	-72	107616	0.9925020059209252
tfip11	-71	107682	0.993110699167197
tfip11	-70	107722	0.9934796041649374
tfip11	-69	107769	0.9939130675372825
tfip11	-68	107820	0.9943834214094015
tfip11	-67	107856	0.994715435907368
tfip11	-66	107889	0.9950197825305038
tfip11	-65	107913	0.9952411255291481
tfip11	-64	107929	0.9953886875282443
tfip11	-63	107959	0.9956653662765497
tfip11	-62	107979	0.9958498187754199
tfip11	-61	108001	0.9960527165241772
tfip11	-60	108009	0.9961264975237252
tfip11	-59	108023	0.9962556142729344
tfip11	-58	108031	0.9963293952724824
tfip11	-57	108036	0.9963755083972
tfip11	-56	108066	0.9966521871455054
tfip11	-55	108069	0.9966798550203358
tfip11	-54	108075	0.996735190769997
tfip11	-53	108080	0.9967813038947145
tfip11	-52	108084	0.9968181943944886
tfip11	-51	108089	0.9968643075192061
tfip11	-50	108094	0.9969104206439237
tfip11	-49	108100	0.9969657563935848
tfip11	-48	108103	0.9969934242684153
tfip11	-47	108108	0.9970395373931328
tfip11	-46	108111	0.9970672052679633
tfip11	-45	108114	0.9970948731427939
tfip11	-44	108116	0.9971133183926809
tfip11	-43	108116	0.9971133183926809
tfip11	-42	108120	0.997150208892455
tfip11	-41	108125	0.9971963220171726
tfip11	-40	108129	0.9972332125169465
tfip11	-39	108140	0.9973346613913252
tfip11	-38	108141	0.9973438840162687
tfip11	-37	108146	0.9973899971409863
tfip11	-36	108157	0.9974914460153649
tfip11	-35	108160	0.9975191138901954
tfip11	-34	108162	0.9975375591400825
tfip11	-33	108168	0.9975928948897436
tfip11	-32	108171	0.997620562764574
tfip11	-31	108172	0.9976297853895175
tfip11	-30	108183	0.9977312342638962
tfip11	-29	108185	0.9977496795137832
tfip11	-28	108189	0.9977865700135573
tfip11	-27	108194	0.9978326831382748
tfip11	-26	108196	0.9978511283881618
tfip11	-25	108202	0.9979064641378229
tfip11	-24	108206	0.997943354637597
tfip11	-23	108207	0.9979525772625405
tfip11	-22	108214	0.998017135637145
tfip11	-21	108216	0.998035580887032
tfip11	-20	108219	0.9980632487618626
tfip11	-19	108224	0.9981093618865802
tfip11	-18	108228	0.9981462523863542
tfip11	-17	108232	0.9981831428861283
tfip11	-16	108235	0.9982108107609587
tfip11	-15	108238	0.9982384786357893
tfip11	-14	108239	0.9982477012607328
tfip11	-13	108245	0.9983030370103939
tfip11	-12	108247	0.998321482260281
tfip11	-11	108251	0.998358372760055
tfip11	-10	108256	0.9984044858847725
tfip11	-9	108257	0.998413708509716
tfip11	-8	108261	0.9984505990094901
tfip11	-7	108267	0.9985059347591512
tfip11	-6	108269	0.9985243800090382
tfip11	-5	108273	0.9985612705088123
tfip11	-4	108275	0.9985797157586992
tfip11	-3	108281	0.9986350515083603
tfip11	-2	108303	0.9988379492571176
tfip11	-1	108320	0.9989947338811572
tfip11	0	108429	1.0
tfip11	1	56850	0.5243062280386244
tfip11	2	9024	0.08322496749024708
